4.99083,7.05444	4.99083,7.05444

4.99083,7.05444	5.0131,7.0688
1	[.*ə]	1680
1	[!*ọ̀]	606
1	[+à]	98

5.0131,7.0688	5.4244,7.1967
2	[gb*w]	15896
1	[kh*gw]	24108
1	[A*I]	23094
1	[ị*í]	21143
1	[nw*b]	18445
1	[u*á]	15465
1	[kp*y]	14854
1	[m*k]	12819
1	[-ch]	11776
1	[e*a]	4613
1	[a*u]	2590
1	[n*A]	2093
1	[!*ọ̀]	606

5.0131,7.0688	5.4543,7.0247
2	[gb*w]	15896
1	[nw*b]	18445
1	[m*nw]	12836
1	[-ch]	11776
1	[e*a]	4613
1	[a*u]	2590
1	[n*A]	2093
1	[+i]	11

5.0131,7.0688	5.4829,7.0337
1	[A*ǝ]	23226
1	[nw*b]	18445
1	[gb*w]	15896
1	[m*nw]	12836
1	[-ch]	11776
1	[e*a]	4613
1	[a*ụ̄]	2678
1	[n*ō]	2177
1	[!*ọ̀]	606

5.0131,7.0688	5.522,6.923
1	[nw*b]	18445
1	[gb*w]	15896
1	[m*nw]	12836
1	[-ch]	11776
1	[a*ụ̄]	2678
1	[!*ọ̀]	606

5.0131,7.0688	5.5832,7.05
1	[nw*b]	18445
1	[gb*w]	15896
1	[m*nw]	12836
1	[-ch]	11776
1	[a*ọ]	2581
1	[!*ọ̀]	606

5.0131,7.0688	5.5834,7.05
1	[nw*b]	18445
1	[gb*w]	15896
1	[m*nw]	12836
1	[-ch]	11776
1	[a*ọ]	2581
1	[!*ọ̀]	606

5.0131,7.0688	5.6027,7.322
1	[nw*b]	18445
1	[gb*gh]	15912
1	[gb*w]	15896
1	[m*nw]	12836
1	[-ch]	11776
1	[!*ọ̀]	606

5.0131,7.0688	5.664,7.012
1	[nw*b]	18445
1	[gb*w]	15896
1	[-ch]	11776
1	[!*ọ̀]	606

5.0131,7.0688	5.70003,7.73332
1	[nw*b]	18445
1	[gb*r]	15899
1	[gb*w]	15896
1	[-ch]	11776
1	[k*f]	9760
1	[!*ụ]	526

5.0131,7.0688	5.71795,7.08217
1	[nw*b]	18445
1	[gb*w]	15896
1	[-ch]	11776
1	[!*ọ̀]	606

5.0131,7.0688	5.72517,7.13325
1	[nw*b]	18445
1	[gb*gh]	15912
1	[gb*w]	15896
1	[m*nw]	12836
1	[-ch]	11776
1	[!*ọ̀]	606

5.0131,7.0688	5.783,6.8667
1	[nw*b]	18445
1	[gb*w]	15896
1	[sh*l]	14362
1	[-ch]	11776
1	[!*ọ̀]	606

5.0131,7.0688	5.80897,7.06093
1	[gb*w]	15896
1	[m*kh]	12847
1	[-ch]	11776
1	[!*ọ̀]	606
1	[+n]	4

5.0131,7.0688	5.85389,6.86
1	[nw*b]	18445
1	[gb*w]	15896
1	[!*ọ̀]	606

5.0131,7.0688	5.85916,7.00299
1	[nw*b]	18445
1	[gb*w]	15896
1	[sh*n]	14340
1	[m*kh]	12847
1	[-ch]	11776
1	[!*ọ̀]	606

5.0131,7.0688	5.9332,7.0834
1	[nw*b]	18445
1	[-ch]	11776

5.0131,7.0688	5.95007,7.11665
1	[-ch]	11776

5.0131,7.0688	5.97889,7.09399
1	[-ch]	11776

5.0131,7.0688	5.9963,6.925
1	[ị*ū]	21124
1	[nw*b]	18445
1	[sh*n]	14340

5.0131,7.0688	6.0038,6.9155
1	[nw*b]	18445
1	[!*ọ̀]	606
1	[+n]	4

5.0131,7.0688	6.01667,7.08333
1	[-ch]	11776

5.0131,7.0688	6.01671,6.91664
1	[nw*b]	18445
1	[!*ọ̀]	606

5.0131,7.0688	6.0168,7.0834
1	[-ch]	11776

5.0131,7.0688	6.01735,6.9134
1	[nw*b]	18445
1	[!*ọ̀]	606

5.0131,7.0688	6.05,7.58333
1	[nw*b]	18445
1	[m*nw]	12836
1	[-ch]	11776
1	[n*ọ]	2069
1	[!*ọ̀]	606

5.0131,7.0688	6.05314,6.86476
1	[nw*b]	18445
1	[!*ọ̀]	606

5.0131,7.0688	6.06667,7.01667
1	[-ch]	11776

5.0131,7.0688	6.08333,7
1	[-ch]	11776

5.0131,7.0688	6.08333,7.01667
1	[-ch]	11776

5.0131,7.0688	6.08624,6.99556
1	[nw*b]	18445
1	[,*w]	1048
