Coordinates:	5.3999,7.0167
1	ọ%d%ụ̀%
1	ọ%d%ị%g%à%r%a%
1	ọ%d%ị%d%à%r%à%
1	ọ%ch%a%
1	ọ%bɦ%à%r%a%
1	ị̀%
1	ị%r%a%
1	ị%m%à%
1	ị%g%ọ̄%z%ī%
1	ị%g%à%f%e%ch%a%a%
1	ù%gb%u%ù%
1	ò%ò%ə%
1	ò%p%ì%
1	ò%nw%e%h%ụ̄%
1	ò%k%ì%r%ì%
1	ò%
1	ì%k%ù%
1	ì%k%è%n%g%à%
1	ì%k%e%ǹ%g%a%à%
1	ì%gw%è%
1	è%sh%i%
1	è%r%i%
1	è%nw%e%
1	è%l%e%
1	è%j%ì%kw%à%
1	è%j%ì%
1	è%j%i%
1	è%e%
1	è%b%u%ị%l%a%
1	à%ṅ%a%ā%
1	à%w%ụ%
1	à%sh%ị%-%
1	à%r̃%a%
1	à%r%ị%
1	à%p%ụ̀%a%
1	à%ny%ị%
1	à%m%a%r̃%a%
1	à%m%a%
1	à%kp%ọ%ọ%
1	à%kp%ọ%ch%a%a%
1	à%hw%ụ̀%
1	à%h%ụ%k%a%r%ị%
1	à%gb%à%
1	à%gb%a%j%e%
1	à%gb%a%gh%à%r%a%
1	à%gb%a%d%ā%
1	à%g%a%r%u%
1	à%d%ọ%r%ọ%
1	à%bɦ%à%a%
1	à%b%ụ%b%ụ̀%r%ụ̀%
1	à%b%ụ%b%ụ̀%r%ụ%
1	à%b%ọ̀%ọ%
1	y%à%-%
1	y%e%
1	y%ā%kw%ā%n%ụ̄%
1	w%ụ̄%r%ụ̄%
1	w%ụ̀%
1	w%ụ%r%ụ%kw%a%n%ụ%
1	w%ụ%kw%a%n%ị%
1	w%ụ%ch%a%a%
1	w%è%r%è%
1	w%è%r%e%kw%a%n%ụ%
1	w%e%t%ù%
1	v%u%r%u%
1	sh%ị%sh%ì%
1	sh%ì%r%ì%
1	sh%ī%
1	sh%i%r%i%
1	s%o%ò%
1	s%o%ō%
1	s%a%r%a%
1	r%ị̀%r%ị%
1	r%ị%ị%r%ị̄%ị̄%
1	r%u%o%
1	r%u%kw%e%
1	r%a%h%ụ%ṁ%a%
1	p%ụ̀%a%
1	ō%l%ū%
1	ō%kw%ū%
1	o%t%u%
1	o%r%ì%m̀%
1	o%o%
1	o%ny%è%
1	o%nw%è%kw%à%n%à%à%
1	o%l%ū%
1	o%kw%u%
1	o%k%u%sh%i%e%
1	o%k%ā%r%ị̄%r%ị̄%
1	o%j%è%-%à%l%a%r%ù%
1	o%g%ì%d%ì%
1	n̄%kw%ū%
1	n̄%j%ī%
1	ǹ%s%o%
1	ǹ%k%ù%
1	ǹ%k%è%e%
1	ǹ%k%e%ē%
1	nw%ọ̄%
1	nw%è%kw%à%r%à%
1	nw%è%ch%à%r%à%
1	nw%o%
1	nw%ē%ṭ%ā%
1	nw%e%ṭ%a%
1	nw%a%à%ny%ị̀%
1	nw%a%nw%ē%
1	n%ọ̄%g%ī%dɦ%ē%r%ē%
1	n%ọ̄%
1	n%ọ̀%kw%à%
1	n%ị%n%ị̄%
1	n%t%ị̄%
1	n%t%ị%
1	n%sh%ī%
1	n%k%e%
1	n%j%i%j%i%ə%
1	n%d%ị%ị̀%
1	n%d%e%ē%
1	n%ā%-%a%ch%a%ch%a%
1	n%a%a%
1	m̄%m%a%d%ụ̀%
1	m̄%b%ụ̄%
1	m̀%v%ọ%
1	m̀%p%i%
1	m̀%m%à%
1	m̀%gb%è%
1	m%ụ%
1	m%ọ%ọ̄%
1	m%è%r̃%è%n%ụ̀%
1	m%è%
1	m%à%ọ̀%w%ụ̀%ụ%
1	m%à%ọ̀%w%ụ%
1	m%à%ọ̀%
1	m%v%ọ%
1	m%m%a%r%ụ̀%
1	m%kp%ị%sh%ị̀%r%ị%
1	m%kp%o%o%
1	m%gb%e%g%i%dɦ%e%-%
1	m%ē%r%ē%n%ụ̄%
